<timestamp>|<CAN_ID>|<direction>|<type>|<DLC>|<data_bytes>
503.900736|1b0|Rx|d|4|FF00FFC0
503.912729|211|Rx|d|8|8200FFFFA90000D0
503.912729|214|Rx|d|2|0000
503.920725|1b0|Rx|d|4|FF00FFC0
503.932716|211|Rx|d|8|8200FFFFA90000D0
503.932716|214|Rx|d|2|0000
503.941067|350|Rx|d|8|C02F3AF81870A489
503.941067|1b0|Rx|d|4|FF00FFC0
503.941067|4de|Rx|d|3|C00000
503.941067|55d|Rx|d|8|00FC50C090800000
503.952193|211|Rx|d|8|8200FFFFA90000D0
503.952193|214|Rx|d|2|0000
503.952193|218|Rx|d|1|98
503.952193|4fa|Rx|d|2|0800
503.952193|671|Rx|d|2|0200
503.960188|1b0|Rx|d|4|FF00FFC0
503.960188|5de|Rx|d|8|0000000000000002
503.964286|4f8|Rx|d|8|94C0000000000000
503.970282|5df|Rx|d|3|009500
503.970282|211|Rx|d|8|8200FFFFA90000D0
503.970282|214|Rx|d|2|0000
503.976278|6fb|Rx|d|8|0F03FF00FF0000FF
503.980278|1b0|Rx|d|4|FF00FFC0
503.980278|657|Rx|d|2|C0CC
503.980278|69f|Rx|d|4|0650859F
503.984383|3b7|Rx|d|6|00007FC000C0
503.990379|4ac|Rx|d|5|83742A0080
503.990379|45c|Rx|d|6|00000000FFE0
503.992456|211|Rx|d|8|8200FFFFA90000D0
503.992456|214|Rx|d|2|0000
503.992456|646|Rx|d|8|000000020000000C
504.000449|1b0|Rx|d|4|FF00FFC0
504.006448|5ce|Rx|d|3|FEFF00
504.012442|211|Rx|d|8|8200FFFFA90000D0
504.012442|214|Rx|d|2|0000
504.020437|1b0|Rx|d|4|FF00FFC0
504.032430|211|Rx|d|8|8200FFFFA90000D0
504.032430|214|Rx|d|2|0000
504.040424|350|Rx|d|8|C02F3AF81870A489
504.040424|1b0|Rx|d|4|FF00FFC0
504.040424|4de|Rx|d|3|C00000
504.040424|55d|Rx|d|8|00FC50C090800000
504.052417|211|Rx|d|8|8200FFFFA90000D0
504.052417|214|Rx|d|2|0000
504.052417|218|Rx|d|1|98
504.054415|4fa|Rx|d|2|0800
504.054415|671|Rx|d|2|0200
504.060411|1b0|Rx|d|4|FF00FFC0
504.060411|5de|Rx|d|8|0000000000000002
504.066408|4f8|Rx|d|8|94C0000000000000
504.072404|5df|Rx|d|3|009500
504.072404|211|Rx|d|8|8200FFFFA90000D0
504.072404|214|Rx|d|2|0000
504.080399|1b0|Rx|d|4|FF00FFC0
504.080399|657|Rx|d|2|C0CC
504.086396|3b7|Rx|d|6|00007FC000C0
504.092392|4ac|Rx|d|5|83742A0080
504.092392|45c|Rx|d|6|00000000FFE0
504.092392|211|Rx|d|8|8200FFFFA90000D0
504.092392|214|Rx|d|2|0000
504.100387|1b0|Rx|d|4|FF00FFC0
504.112380|211|Rx|d|8|8200FFFFA90000D0
504.112380|214|Rx|d|2|0000
504.120375|1b0|Rx|d|4|FF00FFC0
504.132646|211|Rx|d|8|8200FFFFA90000D0
504.132646|214|Rx|d|2|0000
504.140760|350|Rx|d|8|C02F3AF81870A489
504.140760|1b0|Rx|d|4|FF00FFC0
504.140760|4de|Rx|d|3|C00000
504.140760|55d|Rx|d|8|00FC50C090800000
504.152826|211|Rx|d|8|8200FFFFA90000D0
504.152826|214|Rx|d|2|0000
504.154826|218|Rx|d|1|98
504.154826|4fa|Rx|d|2|0800
504.154826|671|Rx|d|2|0200
504.160822|1b0|Rx|d|4|FF00FFC0
504.160822|5de|Rx|d|8|0000000000000002
504.165934|4f8|Rx|d|8|94C0000000000000
504.172077|5df|Rx|d|3|009500
504.172077|211|Rx|d|8|8200FFFFA90000D0
504.172077|214|Rx|d|2|0000
504.180071|1b0|Rx|d|4|FF00FFC0
504.180071|657|Rx|d|2|C0CC
504.186067|3b7|Rx|d|6|00007FC000C0
504.192064|4ac|Rx|d|5|83742A0080
504.192064|45c|Rx|d|6|00000000FFE0
504.192064|211|Rx|d|8|8200FFFFA90000D0
504.192064|214|Rx|d|2|0000
504.200058|1b0|Rx|d|4|FF00FFC0
504.212246|211|Rx|d|8|8200FFFFA90000D0
504.212246|214|Rx|d|2|0000
504.220307|1b0|Rx|d|4|FF00FFC0
504.232371|211|Rx|d|8|8200FFFFA90000D0
504.232371|214|Rx|d|2|0000
504.240367|350|Rx|d|8|C02F3AF81870A489
504.240367|1b0|Rx|d|4|FF00FFC0
504.240367|4de|Rx|d|3|C00000
504.240367|55d|Rx|d|8|00FC50C090800000
504.252592|211|Rx|d|8|8200FFFFA90000D0
504.252592|214|Rx|d|2|0000
504.252592|218|Rx|d|1|98
504.252592|4fa|Rx|d|2|0800
504.252592|671|Rx|d|2|0200
504.260670|1b0|Rx|d|4|FF00FFC0
504.260670|5de|Rx|d|8|0000000000000002
504.266669|4f8|Rx|d|8|94C0000000000000
504.272663|5df|Rx|d|3|009500
504.272663|211|Rx|d|8|8200FFFFA90000D0
504.272663|214|Rx|d|2|0000
504.280901|1b0|Rx|d|4|FF00FFC0
504.280901|657|Rx|d|2|C0CC
504.285985|3b7|Rx|d|6|00007FC000C0
504.292218|4ac|Rx|d|5|83742A0080
504.292218|45c|Rx|d|6|00000000FFE0
504.292218|211|Rx|d|8|8200FFFFA90000D0
504.292218|214|Rx|d|2|0000
504.300365|1b0|Rx|d|4|FF00FFC0
504.312358|211|Rx|d|8|8200FFFFA90000D0
504.312358|214|Rx|d|2|0000
504.320353|1b0|Rx|d|4|FF00FFC0
504.332345|211|Rx|d|8|8200FFFFA90000D0
504.332345|214|Rx|d|2|0000
504.340340|350|Rx|d|8|C02F3AF81870A489
504.340340|1b0|Rx|d|4|FF00FFC0
504.340340|4de|Rx|d|3|C00000
504.340340|55d|Rx|d|8|00FC50C090800000
504.352423|211|Rx|d|8|8200FFFFA90000D0
504.352423|214|Rx|d|2|0000
504.352423|218|Rx|d|1|98
504.352423|4fa|Rx|d|2|0800
504.352423|671|Rx|d|2|0200
504.360419|1b0|Rx|d|4|FF00FFC0
504.360419|5de|Rx|d|8|0000000000000002
504.366606|4f8|Rx|d|8|94C0000000000000
504.372603|5df|Rx|d|3|009500
504.372603|211|Rx|d|8|8200FFFFA90000D0
504.372603|214|Rx|d|2|0000
504.380598|1b0|Rx|d|4|FF00FFC0
504.380598|657|Rx|d|2|C0CC
504.386594|3b7|Rx|d|6|00007FC000C0
504.392590|4ac|Rx|d|5|83742A0080
504.392590|45c|Rx|d|6|00000000FFE0
504.392590|211|Rx|d|8|8200FFFFA90000D0
504.392590|214|Rx|d|2|0000
504.400818|1b0|Rx|d|4|FF00FFC0
504.413902|211|Rx|d|8|8200FFFFA90000D0
504.413902|214|Rx|d|2|0000
504.421898|1b0|Rx|d|4|FF00FFC0
504.433971|211|Rx|d|8|8200FFFFA90000D0
504.433971|214|Rx|d|2|0000
504.442171|350|Rx|d|8|C02F3AF81870A489
504.442171|1b0|Rx|d|4|FF00FFC0
504.442171|4de|Rx|d|3|C00000
504.442171|55d|Rx|d|8|00FC50C090800000
504.452165|211|Rx|d|8|8200FFFFA90000D0
504.452165|214|Rx|d|2|0000
504.452165|218|Rx|d|1|98
504.452165|4fa|Rx|d|2|0800
504.452165|671|Rx|d|2|0200
504.460161|1b0|Rx|d|4|FF00FFC0
504.460161|5de|Rx|d|8|0000000000000002
504.466156|4f8|Rx|d|8|94C0000000000000
504.472243|5df|Rx|d|3|009500
504.472243|211|Rx|d|8|8200FFFFA90000D0
504.472243|214|Rx|d|2|0000
504.480356|1b0|Rx|d|4|FF00FFC0
504.480356|657|Rx|d|2|C0CC
504.486546|3b7|Rx|d|6|00007FC000C0
504.492542|4ac|Rx|d|5|83742A0080
504.492542|45c|Rx|d|6|00000000FFE0
504.494541|211|Rx|d|8|8200FFFFA90000D0
504.494541|214|Rx|d|2|0000
504.494541|646|Rx|d|8|000000020000000C
504.500754|1b0|Rx|d|4|FF00FFC0
504.511898|211|Rx|d|8|8200FFFFA90000D0
504.511898|214|Rx|d|2|0000
504.522090|1b0|Rx|d|4|FF00FFC0
504.532162|211|Rx|d|8|8200FFFFA90000D0
504.532162|214|Rx|d|2|0000
504.540156|350|Rx|d|8|C02F3AF81870A489
504.540156|1b0|Rx|d|4|FF00FFC0
504.542156|4de|Rx|d|3|C00000
504.542156|55d|Rx|d|8|00FC50C090800000
504.554469|211|Rx|d|8|8200FFFFA90000D0
504.554469|214|Rx|d|2|0000
504.554469|218|Rx|d|1|98
504.554469|4fa|Rx|d|2|0800
504.554469|671|Rx|d|2|0200
504.560542|1b0|Rx|d|4|FF00FFC0
504.560542|5de|Rx|d|8|0000000000000002
504.566613|4f8|Rx|d|8|94C0000000000000
504.572610|5df|Rx|d|3|009500
504.572610|211|Rx|d|8|8200FFFFA90000D0
504.572610|214|Rx|d|2|0000
504.580605|1b0|Rx|d|4|FF00FFC0
504.580605|657|Rx|d|2|C0CC
504.586602|3b7|Rx|d|6|00007FC000C0
504.592598|4ac|Rx|d|5|83742A0080
504.592598|45c|Rx|d|6|00000000FFE0
504.592598|211|Rx|d|8|8200FFFFA90000D0
504.592598|214|Rx|d|2|0000
504.600592|1b0|Rx|d|4|FF00FFC0
504.612587|211|Rx|d|8|8200FFFFA90000D0
504.612587|214|Rx|d|2|0000
