LogEntrySeconds,Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Положение педали газа ( %),Положение дроссельной заслонки ( %),Скорость автомобиля ( км/час),Флаг нажатия педали сцепления (-),Величина отскока УОЗ при детонации ( °ПКВ),Счетчик пропусков в цилиндре 1 за текущую поездку (-),Счетчик пропусков в цилиндре 3 за текущую поездку (-),Счетчик пропусков в цилиндре 4 за текущую поездку (-),Счетчик пропусков в цилиндре 2 за текущую поездку (-)
61,35.25,1199.0,1200.0,6.75,3.776,0.21,0.0,5.93,0.0,0.0,0.0,,,,
61,35.25,1195.0,1200.0,4.5,3.77,0.8,0.0,6.01,0.0,0.0,0.0,,,,
62,36.0,1189.0,1200.0,10.5,3.84,0.27,0.0,6.01,0.0,0.0,0.0,,,,
62,36.0,1192.0,1190.0,7.5,3.68,0.86,0.0,5.93,0.0,0.0,0.0,,,,
63,36.0,1185.0,1190.0,6.75,4.019,0.19,0.0,5.93,0.0,0.0,0.0,,,,
63,36.0,1193.0,1190.0,6.0,3.859,0.31,0.0,6.01,0.0,0.0,0.0,,,,
64,36.0,1163.0,990.0,10.5,3.187,0.2,0.0,5.03,0.0,0.0,0.0,,,,
64,36.0,1114.0,990.0,6.75,3.405,0.19,0.0,5.1,0.0,0.0,0.0,,,,
65,36.0,1049.0,990.0,7.5,3.853,0.86,0.0,5.1,0.0,0.0,0.0,,,,
65,36.0,1012.0,990.0,4.5,3.974,0.97,0.0,5.1,0.0,0.0,0.0,,,,
66,36.75,989.0,990.0,6.75,3.987,0.95,0.0,5.03,0.0,0.0,0.0,,,,
66,36.75,981.0,990.0,3.75,3.904,0.92,0.0,5.03,0.0,0.0,0.0,,,,
66,36.75,978.0,990.0,3.75,3.827,0.87,0.0,5.03,0.0,0.0,0.0,,,,
67,36.75,978.0,990.0,4.5,3.827,0.19,0.0,5.1,0.0,0.0,0.0,,,,
67,36.75,982.0,990.0,5.25,3.904,0.2,0.0,5.1,0.0,0.0,0.0,,,,
68,36.75,986.0,990.0,4.5,3.968,0.21,0.0,5.03,0.0,0.0,0.0,,,,
68,36.75,982.0,990.0,7.5,3.866,0.85,0.0,5.1,0.0,0.0,0.0,,,,
68,36.75,975.0,990.0,8.25,3.802,0.81,0.0,5.1,0.0,0.0,0.0,,,,
69,36.75,981.0,990.0,3.0,3.93,0.2,0.0,5.03,0.0,0.0,0.0,,,,
69,36.75,982.0,990.0,6.0,3.974,0.28,0.0,5.1,0.0,0.0,0.0,,,,
70,37.5,979.0,990.0,8.25,3.866,0.85,0.0,5.1,0.0,0.0,0.0,,,,
70,37.5,988.0,990.0,6.0,3.923,0.2,0.0,5.03,0.0,0.0,0.0,,,,
70,37.5,987.0,990.0,3.75,3.987,0.28,0.0,5.03,0.0,0.0,0.0,,,,
71,37.5,986.0,990.0,3.75,3.789,0.84,0.0,5.03,0.0,0.0,0.0,,,,
71,37.5,974.0,990.0,5.25,3.866,0.21,0.0,5.1,0.0,0.0,0.0,,,,
72,37.5,986.0,990.0,3.75,3.898,0.2,0.0,5.03,0.0,0.0,0.0,,,,
72,37.5,982.0,990.0,7.5,3.885,0.79,0.0,5.03,0.0,0.0,0.0,,,,
73,37.5,981.0,990.0,4.5,3.872,0.21,0.0,5.03,0.0,0.0,0.0,,,,
73,37.5,973.0,980.0,6.0,3.955,0.2,0.0,5.1,0.0,0.0,0.0,,,,
74,38.25,978.0,980.0,6.75,3.949,0.7,0.0,5.03,0.0,0.0,0.0,,,,
74,38.25,976.0,980.0,4.5,3.821,0.85,0.0,5.03,0.0,0.0,0.0,,,,
74,38.25,978.0,980.0,1.5,3.853,0.2,0.0,5.03,0.0,0.0,0.0,,,,
75,38.25,977.0,980.0,5.25,3.872,0.22,0.0,4.98,0.0,0.0,0.0,,,,
75,38.25,984.0,980.0,2.25,3.878,0.75,0.0,4.91,0.0,0.0,0.0,,,,
76,38.25,973.0,980.0,6.75,3.853,0.85,0.0,4.98,0.0,0.0,0.0,,,,
76,38.25,977.0,980.0,8.25,3.77,0.77,0.0,4.98,0.0,0.0,0.0,,,,
76,38.25,980.0,980.0,6.0,3.859,0.19,0.0,4.98,0.0,0.0,0.0,,,,
77,38.25,985.0,980.0,0.75,3.962,0.25,0.0,4.98,0.0,0.0,0.0,,,,
77,38.25,981.0,980.0,1.5,3.827,0.84,0.0,4.98,0.0,0.0,0.0,,,,
78,39.0,975.0,980.0,8.25,3.776,0.8,0.0,4.98,0.0,0.0,0.0,,,,
80,39.0,982.0,980.0,3.0,3.84,0.8,0.0,4.98,0.0,0.0,0.0,,,,
80,39.0,974.0,980.0,4.5,3.802,0.86,0.0,4.98,0.0,0.0,0.0,,,,
81,39.0,970.0,980.0,8.25,3.763,0.22,0.0,4.98,0.0,0.0,0.0,,,,
81,39.75,975.0,980.0,1.5,3.866,0.2,0.0,4.98,0.0,0.0,0.0,,,,
82,39.75,984.0,980.0,0.75,3.898,0.26,0.0,4.91,0.0,0.0,0.0,,,,
84,39.75,976.0,970.0,2.25,3.872,0.21,0.0,4.98,0.0,0.0,0.0,,,,
85,39.75,977.0,970.0,3.0,3.808,0.83,0.0,4.91,0.0,0.0,0.0,,,,
85,40.5,970.0,970.0,9.0,3.821,0.2,0.0,4.98,0.0,0.0,0.0,,,,
86,40.5,975.0,970.0,7.5,3.846,0.2,0.0,4.98,0.0,0.0,0.0,,,,
86,40.5,980.0,970.0,3.75,3.84,0.84,0.0,4.91,0.0,0.0,0.0,,,,
87,40.5,977.0,970.0,7.5,3.763,0.85,0.0,4.91,0.0,0.0,0.0,,,,
87,40.5,972.0,970.0,0.0,3.802,0.19,0.0,4.86,0.0,0.0,0.0,,,,
