LogEntrySeconds,Напряжение батареи ( В),Температура охлаждающей жидкости ( °С),Обороты  двигателя ( об/мин),Желаемые обороты холостого хода ( об/мин),Угол опережения зажигания ( °ПКВ),Длительность импульса впрыска ( мс),Напряжение датчика кислорода 1 ( В),Напряжение датчика кислорода 2 ( В),Положение дроссельной заслонки ( %),Величина отскока УОЗ при детонации ( °ПКВ)
112,14.1,45.0,944.0,940.0,5.25,3.725,0.2,0.52,4.49,0.0
112,14.1,45.0,954.0,940.0,6.0,3.68,0.26,0.51,4.49,0.0
113,14.1,45.0,941.0,940.0,9.75,3.648,0.73,0.52,4.49,0.0
113,14.0,45.0,946.0,940.0,7.5,3.763,0.2,0.52,4.49,0.0
113,14.0,45.0,947.0,940.0,6.0,3.725,0.75,0.52,4.49,0.0
114,14.1,45.0,947.0,940.0,9.0,3.68,0.22,0.51,4.49,0.0
115,14.1,45.0,946.0,940.0,3.0,3.776,0.25,0.52,4.49,0.0
115,14.1,45.75,946.0,940.0,5.25,3.718,0.85,0.51,4.49,0.0
116,14.0,45.75,942.0,940.0,6.75,3.635,0.65,0.52,4.49,0.0
116,14.1,45.75,950.0,940.0,0.75,3.757,0.26,0.52,4.49,0.0
117,14.1,45.75,942.0,940.0,2.25,3.693,0.86,0.52,4.49,0.0
117,14.1,45.75,942.0,940.0,3.75,3.674,0.74,0.52,4.49,0.0
117,14.1,45.75,948.0,940.0,3.75,3.712,0.25,0.52,4.42,0.0
118,14.0,45.75,939.0,940.0,3.0,3.642,0.79,0.52,4.49,0.0
118,14.1,45.75,933.0,930.0,6.0,3.699,0.84,0.52,4.49,0.0
119,14.1,45.75,939.0,930.0,4.5,3.693,0.22,0.52,4.49,0.0
119,14.1,45.75,936.0,980.0,8.25,4.435,0.21,0.52,6.86,0.0
119,14.1,45.75,989.0,980.0,-2.25,3.91,0.89,0.51,4.79,0.0
120,13.8,46.5,975.0,980.0,1.5,3.808,0.91,0.51,4.86,0.0
120,14.0,46.5,985.0,980.0,-0.75,3.744,0.21,0.52,4.91,0.0
121,14.1,46.5,981.0,980.0,5.25,3.962,0.19,0.52,4.98,0.0
121,14.1,46.5,982.0,930.0,2.25,3.661,0.22,0.52,4.61,0.0
122,14.1,46.5,967.0,930.0,5.25,3.59,0.84,0.51,4.42,0.0
122,14.1,46.5,950.0,930.0,10.5,3.552,0.23,0.51,4.49,0.0
122,14.1,46.5,947.0,930.0,9.0,3.674,0.21,0.52,4.37,0.0
